Գույնը,ISBN,Հեղինակ,Էջերի քանակը,Կոդ,Տարեթիվ,Կազմ,Արտադրող,User ID,Երկիր,Լեզու,Լրացուցիչ նկարներ
,,,,K12814,2017,,,,Հայաստան,Անգլերեն,
,,,,K049081,2020,,,,Հայաստան,Հայերեն,
,,,,K049080,2021,,,,Հայաստան,Հայերեն,
,,,,K049079,2022,,,,Հայաստան,Հայերեն,
,,,,K049078,2021,,,,Հայաստան,Հայերեն,
,,,,K035511,2019,,,,Հայաստան,Հայերեն,
,,Լորան Վան Վեթեր,,K049077,,,,,Հայաստան,Հայերեն,
,,Պոլ Էմոն,,K049076,,,,,Հայաստան,Հայերեն,
,,Սելին Դելբեք,,K049075,,,,,Հայաստան,Հայերեն,
,,Լայլա Նաբյուլսի,,K049074,,,,,Հայաստան,Հայերեն,
,,,,K049073,2022,,,,Հայաստան,Հայերեն,
,,Վիլհելմ Մաթևոսյան,,K049072,,,,,Հայաստան,Հայերեն,
,,,,K56886,2012,,,,Հայաստան,Հայերեն,
,,Արտակ Վարդանյամ,,K049071,,,,,Հայաստան,Հայերեն,
,,,,K049070,2010,,,,Հայաստան,Ռուսերեն,
,,,,K049069,2021,,,,Հայաստան,Հայերեն,
,,,,K049068,2022,,,,Հայաստան,Հայերեն,
,,,,K56296,2012,,,,Հայաստան,Հայերեն,
,,,,K049060,2022,,,,Հայաստան,Հայերեն,
,,,,K049059,2021,,,,Հայաստան,Հայերեն,
,,,,K034029,2018,,,,Հայաստան,Ռուսերեն,
,,,352,46057,,Կոշտ,,,,,
,,,,049058,,,,,,Հայերեն,
,,,,049055,,,,,,Հայերեն,
,,,,049054,2021,,,,,Հայերեն,
,,,,049053,,,,,,Հայերեն,
,,,,049052,,,,,,Հայերեն,
,,,,049051,,,,,,Հայերեն,
,,,,049050,,,,,,Հայերեն,
,,,,049048,,,,,,Հայերեն,
,,,,049046,,,,,,Հայերեն,
,,,,049045,,,,,,Հայերեն,
,,,,049044,,,,,,Հայերեն,
,,,,049043,,,,,,Հայերեն,
,,,,049042,,,,,,Հայերեն,
,,,,049040,,,,,,Հայերեն,
,,,,049039,,,,,,Հայերեն,
,,,,049038,2020,,,,,Հայերեն,
,,,,049037,2020,,,,,Անգլերեն,
,,,,049036,,,,,,Հայերեն,
,,Jordan B. Peterson,410,049035,,,,,,,
,,Haruki Murakami,202,049033,,,,,,,
,,Haruki Murakami,618,049032,,,,,,,
,,Stephen Hawking,256,049030,,,,,,,
,,Fredrik Backman,410,049029,,,,,,,
,,Dan Brown,592,049028,,,,,,,
,,Dan Brown,672,049027,,,,,,,
,,Dan Brown,546,049026,,,,,,,
,,Dan Brown,624,049025,,,,,,,
,,Dan Brown,624,049024,,,,,,,
,,,510,049023,/ 51,Կոշտ,,,,,
,,,160,049022,,Կոշտ,,,,,
,,,256,049021,,Կոշտ,,,,,
,,,256,049020,/ 25,Կոշտ,,,,,
,,,286,049019,/ 28,Կոշտ,,,,,
,,,400,049016,,Կոշտ,,,,,
,,,224,049015,/ 22,,,,,,
,,,320,049014,/ 32,,,,,,
,,,352,049013,,Կոշտ,,,,,
,,,320,049012,,Կոշտ,,,,,
,,,400,049011,,Կոշտ,,,,,
,,,240,049010,,Կոշտ,,,,,
,,,192,049009,,Կոշտ,,,,,
,,,304,049008,,Կոշտ,,,,,
,,,256,049007,,Կոշտ,,,,,
,,,208,049006,/ 20,,,,,,
,,,320,049005,,Կոշտ,,,,,
,,,320,049003,,Կոշտ,,,,,
,,,528,049001,/ 52,Կոշտ,,,,,
,,,142,049000,,Կոշտ,,,,,
,,,160,048999,,Կոշտ,,,,,
,,,352,048998,/ 35,,,,,,
,,,,048997,,,,,,Հայերեն,
,,,,048996,,,,,,Հայերեն,
,,,,048995,,,,,,Հայերեն,
,,,,048994,,,,,,Հայերեն,
