title,author,publisher,price,language,pages,genre,category,target,EAN,code,year,url
Փոքրիկ մողէսի այցելութիւնը,Արմինէ Կունդակջեան,Հեղինակային հրատարակություն,1500 դրամ,Արևմտահայերեն,40,Մանկական,Պատկերագրքեր,3+,9780578351797,00055899,2022,https://zangakbookstore.am/poqrik-mokhesi-aytselutiւny
Գոբլինը և ընկերները,Նարեկ Սերոբյան,Հեղինակային հրատարակություն,2500 դրամ,Հայերեն,50,Պատանեկան,Գեղարվեստական,4+,9789939041193,00056276,2022,https://zangakbookstore.am/gobliny-ev-ynkernery
Քո երկրի դեսպանը,Ռուբեն Ֆիլյան,«ԱՐԻ» ԳՐԱԿԱՆՈՒԹՅԱՆ Հիմնադրամ,3600 դրամ,Հայերեն,135,Գեղարվեստական,Հայ դասական գրականություն,16+,9789939928517,00056282,2022,https://zangakbookstore.am/qo-erkri-despany-1
Քո երկրի դեսպանը,Ռուբեն Ֆիլյան,«ԱՐԻ» ԳՐԱԿԱՆՈՒԹՅԱՆ Հիմնադրամ,4200 դրամ,Հայերեն,135,Գեղարվեստական,Հայ դասական գրականություն,16+,2002001000001,00056281,2022,https://zangakbookstore.am/qo-erkri-despany
Նարեկը,Ադի Ալյեն,Հեղինակային հրատարակություն,5000 դրամ,Հայերեն,160,Ոչ գեղարվեստական,Կենսագրություն և հուշեր,16+,9789939689692,00056277,2022,https://zangakbookstore.am/nareky
Արցունքներս սրբիր,Րաֆֆի Շահվերդյան,Հեղինակային հրատարակություն,4200 դրամ,Հայերեն,220,Ոչ գեղարվեստական,Հոգեբանություն,16+,9789939039671,00056278,2022,https://zangakbookstore.am/artsunqners-srbir
"Տղամարդիկ Մարսից են, կանայք՝ Վեներայից",Ջոն Գրեյ,Հեղինակային հրատարակություն,4990 դրամ,Հայերեն,428,Ոչ գեղարվեստական,Հոգեբանություն,16+,9789939928807,00056275,2022,https://zangakbookstore.am/tkhamardik-marsits-en-kanayq-venerayits
Հոգու և կարոտի ճամփաներով,Արտակ Վարդանյան,Հեղինակային հրատարակություն,4200 դրամ,Հայերեն,270,Գեղարվեստական,Հայ ժամանակակից արձակ,16+,9789939758244,00056255,2022,https://zangakbookstore.am/hogu-ev-karoti-champanerov
Երգող ձկնիկը,Հովհաննես Սարոյան,Հեղինակային հրատարակություն,900 դրամ,Հայերեն,24,Մանկական,Պատկերագրքեր,3+,2001999000000,00056257,2022,https://zangakbookstore.am/ergokh-dzkniky
Սեր և պատերազմ,Շառլ Ազնավուր,,5800 դրամ,,,Գեղարվեստական,Պոեզիա,,,,,https://zangakbookstore.am/ser-ev-paterazm
Երրորդ աշխարհամարտի մատույցներում,Տիգրան Հայրապետյան,,5800 դրամ,,,Ոչ գեղարվեստական,Քաղաքագիտություն,,,,,https://zangakbookstore.am/errord-ashkharhamarti-matuytsnerum
Չորրորդ փողոց,Դավիթ Սամվելյան,,4400 դրամ,,,Գեղարվեստական,Հայ ժամանակակից արձակ,,,,,https://zangakbookstore.am/chorrord-pokhots
"Այսօրվա, վաղվա և մյուս օրերի համար",Զարուհի Բաթոյան,Գրանիշ,2500 դրամ,Հայերեն,119,Գեղարվեստական,Պոեզիա,16+,9789939926650,00056252,2022,https://zangakbookstore.am/aysorva-vakhva-ev-myus-oreri-hamar
BU:K Magazine,,Հեղինակային հրատարակություն,12000 դրամ,Ռուսերեն,204,Ոչ գեղարվեստական,Արվեստ և մշակույթ,12+,2001988000004,00056242,2022,https://zangakbookstore.am/buk-magazine
Հայաստանի սահմանների 2600 տարվա պատմությունը,Ռուբեն Գալչյան,Հեղինակային հրատարակություն,5000 դրամ,Հայերեն,60,Ոչ գեղարվեստական,Պատմություն,12+,9789939689753,00056253,2022,https://zangakbookstore.am/hayastani-sahmanneri-2600-tarva-patmutyuny
Зов Вишапасара,Արտակ Վարդանյան,Հեղինակային հրատարակություն,2100 դրամ,Ռուսերեն,130,Գեղարվեստական,Հայ ժամանակակից արձակ,16+,2002000000002,00056256,2022,https://zangakbookstore.am/zov-vishapasara
Փոս-Փարիզ,Սպարտակ Ղարաբաղցյան,Հեղինակային հրատարակություն,3400 դրամ,Հայերեն,170,Գեղարվեստական,Հայ ժամանակակից արձակ,16+,9789939037639,00056274,2022,https://zangakbookstore.am/pos-pariz
Խելացի բիզնես․ Alibaba,Մին Ցըն,,5990 դրամ,,,Ոչ գեղարվեստական,Կենսագրություն և հուշեր,,,,,https://zangakbookstore.am/khelatsi-biznes-alibaba
Անմահների ակադեմիան,Համլետ Առաքելյան,,4990 դրամ,,,Գեղարվեստական,Հայ ժամանակակից արձակ,,,,,https://zangakbookstore.am/anmahneri-akademian
Կոշկակար ոզնին,Հովհաննես Սարոյան,Հեղինակային հրատարակություն,900 դրամ,Հայերեն,10,Մանկական,Պատկերագրքեր,3+,9789939012865,00056258,2022,https://zangakbookstore.am/koshkakar-oznin
Հայտնի հեքիաթագիրներ: Առակներ,Եզոպոս,Էդիթ Պրինտ,900 դրամ,Հայերեն,90,Պատանեկան,Գեղարվեստական,3+,9789939758695,00056263,2022,https://zangakbookstore.am/haytni-heqiatagirner-arakner
Հայտնի հեքիաթագիրներ․ Անդերսեն,Հանս Քրիստիան Անդերսեն,Էդիթ Պրինտ,900 դրամ,Հայերեն,112,Պատանեկան,Գեղարվեստական,3+,9789939758572,00056262,2022,https://zangakbookstore.am/haytni-heqiatagirner-andersen
Մամիկ,Նաիրա Աբրահամյան,,2500 դրամ,,,Գեղարվեստական,Հայ ժամանակակից արձակ,,,,,https://zangakbookstore.am/mamik
Մաթեմատիկա 12-րդ դասարանի թեստերի ժողովածու,Սահակ Փարվանյան,,1200 դրամ,,,Ուսումնական,Ուսումնաօժանդակ,,,,,https://zangakbookstore.am/matematika-12-rd-dasarani-testeri-zhokhovatsu
Ավեստա․ Իրանցիների հնագույն երգերը և տեքստերը,,Անտարես,9990 դրամ,Հայերեն,800,Գեղարվեստական,Էպոս և բանահյուսություն,16+,9789939769363,00056259,2022,https://zangakbookstore.am/avesta-irantsineri-hnaguyn-ergery-ev-teqstery
Волшебник,Վլադիմիր Նաբոկով,,4800 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/volshebnik-1
Дар,Վլադիմիր Նաբոկով,,6400 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/dar-4
"Վայ սագեր, սագեր",Մանուշակ Հովհաննիսյան,Հեղինակային հրատարակություն,2000 դրամ,Հայերեն,107,Մանկական,Պատկերագրքեր,3+,9789939780641,00056169,2021,https://zangakbookstore.am/vay-sager-sager
"Բարև, արև",Մանուշակ Հովհաննիսյան,Հեղինակային հրատարակություն,3500 դրամ,Հայերեն,287,Մանկական,Պատկերագրքեր,3+,9789939782188,00056170,2021,https://zangakbookstore.am/barev-arev
Խաչագողի հիշատակարանը,Րաֆֆի,,3500 դրամ,,,Գեղարվեստական,Հայ դասական գրականություն,,,,,https://zangakbookstore.am/khachagokhi-hishatakarany-1
Նվերը,Սպենսեր Ջոնսոն,Էդիթ Պրինտ,2800 դրամ,Հայերեն,90,Ոչ գեղարվեստական,Ինքնազարգացում և մոտիվացիա,16+,9789939758589,00056247,2022,https://zangakbookstore.am/nvery
Հայոց ցեղասպանության պատմություն,,Մագաղաթ,6600 դրամ,Հայերեն,525,Ոչ գեղարվեստական,Պատմություն,16+,9789939895123,00056249,2022,https://zangakbookstore.am/hayots-tsekhaspanutyan-patmutyun
Մորուս Հասրաթյան,Աելիտա Դոլուխանյան,,4800 դրամ,,,Ոչ գեղարվեստական,Կենսագրություն և հուշեր,,,,,https://zangakbookstore.am/morus-hasratyan
Последнее дело Гвенди,Սթիվեն Քինգ,,5400 դրամ,,,Գեղարվեստական,Սարսափ,,,,,https://zangakbookstore.am/poslednee-delo-gvendi
Свобода,Ջոնաթան Ֆրանզեն,,9500 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/svoboda
Святой против Льва. Иоанн Кронштадтский и Лев Толстой: История одной вражды,Պավել Բասինսկի,,9400 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/svyatoy-protiv-lva-ioann-kronshtadtskiy-i-lev-tolstoy-istoriya-odnoy-vrazhdi
Сияние,Սթիվեն Քինգ,,3300 դրամ,,,Գեղարվեստական,Ֆենթզի,,,,,https://zangakbookstore.am/siyanie-4
Сезон отравленных плодов,,,6200 դրամ,,,Գեղարվեստական,Արտասահմանյան ժամանակակից արձակ,,,,,https://zangakbookstore.am/sezon-otravlennikh-plodov
Трилогия тумана,Կառլոս Ռուիս Սաֆոն,,3400 դրամ,,,Գեղարվեստական,Արտասահմանյան դասական արձակ,,,,,https://zangakbookstore.am/trilogiya-tumana
